,d,r,state,upper_bound,lower_bound
3,5.0,1.41860199060091,C_o,1.4564027131071131,1.3809584777611235
4,6.0,1.4750762255304097,C_o,1.5137141796910492,1.4366277416276736
5,7.0,1.5771811774500748,C_o,1.6208224422148478,1.5357538487952047
6,8.0,1.7114357497848987,C_o,1.75684980676246,1.6675096124833524
7,9.0,1.8101206219684098,C_o,1.8556877153307745,1.765610853370856
8,10.0,1.8883911422664985,C_o,1.9350262623585202,1.8429200617084207
9,11.0,1.9491454870527969,C_o,1.9951689000134134,1.9046507364928609
10,12.0,2.002425155423384,C_o,2.0494389972105513,1.9580842014130084
11,13.0,2.078991712653237,C_o,2.1291920260048354,2.0308654664064343
12,14.0,2.1478607769676965,C_o,2.2007375015793094,2.0938898091605065
13,15.0,2.2281439186970493,C_o,2.282571894308887,2.1737388233747885
14,16.0,2.2803743497540427,C_o,2.331027964863365,2.23182717706731
15,17.0,2.3711881570532882,C_o,2.4219769113714333,2.322197411589822
16,18.0,2.4300365682116896,C_o,2.484040031726445,2.3763663213845305
17,19.0,2.5402950480839204,C_o,2.5625936660437585,2.518657369196551
0,2.0,1.3895646685402976,O,1.4948661757926722,1.29137125892035
1,3.0,1.2397047155062932,O,1.2849847875471503,1.194950765777203
2,4.0,1.3832380312750252,O,1.4425396557952916,1.328894882320151
3,5.0,1.517178104080125,O,1.591497010468361,1.441563798513836
4,6.0,1.8028431092493757,O,1.8940158359672479,1.707305856385661
5,7.0,2.127555636097842,O,2.230065544942487,2.0223075980896517
6,8.0,2.3361215737760825,O,2.4592815101425693,2.209640525469619
7,9.0,2.469696710224972,O,2.5996568488809437,2.3406176216062295
8,10.0,2.4976901455321348,O,2.6265045213634806,2.3690264677731396
9,11.0,2.485143608148452,O,2.6147522108298196,2.3579227789558237
10,12.0,2.533081326354958,O,2.669259405175058,2.3956679272841592
11,13.0,2.591770680342503,O,2.7188138574371408,2.471097403060051
12,14.0,2.64010511115859,O,2.746126933713096,2.5424812190708184
13,15.0,2.6755887963607643,O,2.7667169262473084,2.5822689851243066
14,16.0,2.7394392872482247,O,2.8332236443254657,2.648767375784894
15,17.0,2.7911604892382034,O,2.8678467248666037,2.712556768538582
16,18.0,2.7610850813767702,O,2.824367480308448,2.6990745190302436
17,19.0,2.4942886671004767,O,2.5227168995427283,2.466749686222488
0,2.0,1.0730100488140295,U,1.1390056418144505,1.0083050589464864
1,3.0,1.0810181498369604,U,1.136208579191306,1.025553587526561
2,4.0,1.0320927971659284,U,1.0883985114791355,0.9786274213303503
3,5.0,1.0455906952009686,U,1.1400381336078043,0.9509931059768632
4,6.0,1.2046329114415493,U,1.3141797343622903,1.092664241175552
5,7.0,1.332170824952977,U,1.4633278270485386,1.2007530672531508
6,8.0,1.4141539193532655,U,1.5213295207174924,1.311178510165647
7,9.0,1.4837385530975717,U,1.5728612203818626,1.3946158858132809
8,10.0,1.5927076800449236,U,1.730905032287335,1.4587359024845412
9,11.0,1.6043172751824304,U,1.7351697212948363,1.4771985154620841
10,12.0,1.735385720047755,U,1.8392958056298176,1.63376424372658
11,13.0,1.7632986402622661,U,1.8511479553319843,1.6688154431205167
12,14.0,1.7026555445370481,U,1.7518897848971966,1.6530423005148163
13,15.0,1.7438987927725835,U,1.7984217618520137,1.6894680065229977
14,16.0,1.786830051637532,U,1.8104719343172686,1.7636461429517984
15,17.0,1.9668320441545246,U,2.034691362054742,1.895431756469278
16,18.0,2.189553551049524,U,2.2894767448457323,2.0958249534272184
17,19.0,2.2158097802296086,U,2.252932528196641,2.178507349402986
