,d,r,state,upper_bound,lower_bound
7,9.0,2.164574419278973,O,2.2326802615089303,2.090849422086168
8,10.0,2.2723875007052468,O,2.36455915320405,2.173970062815734
9,11.0,2.330605361672773,O,2.4163711107545844,2.2449487923558977
10,12.0,2.35721894853936,O,2.4447504708015475,2.269830074466068
11,13.0,2.4002420509662463,O,2.484239009180748,2.3139722478286333
12,14.0,2.407883032954877,O,2.5127498550667053,2.300490331958638
13,15.0,2.283226484293499,O,2.4161086025037597,2.147553140172215
14,16.0,2.0081278723417775,O,2.066469362732627,1.9508019732557067
15,17.0,2.081352717617486,O,2.3183968292203283,1.8696157009781862
16,18.0,2.5382161181706913,O,2.5754626609581104,2.500969575383272
0,2.0,1.0617156277140836,U,1.0889897544774783,1.0344415009506889
1,3.0,1.0073969723583842,U,1.0620806724823442,0.9677144046121036
2,4.0,1.082009168810886,U,1.1554341842295115,1.0124693642646032
3,5.0,1.2447251009475848,U,1.2991882515044084,1.1890657547288446
4,6.0,1.2976364837108552,U,1.3531248910930584,1.2442963814581753
5,7.0,1.289318856419384,U,1.3581300485645533,1.2189429822475775
6,8.0,1.3766261665831696,U,1.4636813683095649,1.2831173611348399
7,9.0,1.4765246369012888,U,1.5756395334532303,1.3779050155454415
8,10.0,1.6239046038581906,U,1.7356956376627017,1.5098678047033907
9,11.0,1.8728270481233025,U,2.0377436523978507,1.7087298714811456
10,12.0,2.1601971524245287,U,2.313651724516361,2.009103132084899
11,13.0,2.332323631811228,U,2.439891064377733,2.2286446202313726
12,14.0,2.3320662033865753,U,2.4010557317680457,2.2685608291211468
